location_cam,common_name,season,total_duration,total_images,total_series
2-2A1-CA1_HF2 PRO COVERT,Bird,summer,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Bird,winter,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Black Bear,summer,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Black Bear,winter,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Canada Lynx,summer,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Canada Lynx,winter,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Coyote,summer,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Coyote,winter,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Deer,summer,5.168250419228619,1,1
2-2A1-CA1_HF2 PRO COVERT,Deer,winter,0,0,0
2-2A1-CA1_HF2 PRO COVERT,"Grouse, Ptarmigan and allies",summer,0,0,0
2-2A1-CA1_HF2 PRO COVERT,"Grouse, Ptarmigan and allies",winter,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Moose,summer,17.534476491084966,7,1
2-2A1-CA1_HF2 PRO COVERT,Moose,winter,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Snowshoe Hare,summer,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Snowshoe Hare,winter,0,0,0
2-2A1-CA1_HF2 PRO COVERT,White-tailed Deer,summer,427.3671938463519,111,11
2-2A1-CA1_HF2 PRO COVERT,White-tailed Deer,winter,0,0,0
2-2A1-CA1_HF2 PRO COVERT,"Wolves, Coyotes and Allies",summer,0,0,0
2-2A1-CA1_HF2 PRO COVERT,"Wolves, Coyotes and Allies",winter,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Woodland Caribou,summer,0,0,0
2-2A1-CA1_HF2 PRO COVERT,Woodland Caribou,winter,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Bird,summer,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Bird,winter,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Black Bear,summer,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Black Bear,winter,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Canada Lynx,summer,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Canada Lynx,winter,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Coyote,summer,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Coyote,winter,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Deer,summer,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Deer,winter,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,"Grouse, Ptarmigan and allies",summer,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,"Grouse, Ptarmigan and allies",winter,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Moose,summer,18.534476491084966,7,1
2-2A1-CA1_PC900 PROFESSIONAL,Moose,winter,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Snowshoe Hare,summer,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,Snowshoe Hare,winter,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,White-tailed Deer,summer,397.3740014058498,102,11
2-2A1-CA1_PC900 PROFESSIONAL,White-tailed Deer,winter,0,0,0
2-2A1-CA1_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",summer,0,0,0
