location_cam,common_name,season,total_duration,total_images,total_series
410-SW_HF2 PRO COVERT,Black Bear,summer,130.62988229514238,14,1
410-SW_HF2 PRO COVERT,Black Bear,winter,0,0,0
410-SW_HF2 PRO COVERT,Canada Lynx,summer,27.846708536869038,5,1
410-SW_HF2 PRO COVERT,Canada Lynx,winter,65.93025122121423,13,6
410-SW_HF2 PRO COVERT,Coyote,summer,0,0,0
410-SW_HF2 PRO COVERT,Coyote,winter,0,0,0
410-SW_HF2 PRO COVERT,Elk (wapiti),summer,0,0,0
410-SW_HF2 PRO COVERT,Elk (wapiti),winter,0,0,0
410-SW_HF2 PRO COVERT,Fisher,summer,0,0,0
410-SW_HF2 PRO COVERT,Fisher,winter,0,0,0
410-SW_HF2 PRO COVERT,Gray Jay,summer,0,0,0
410-SW_HF2 PRO COVERT,Gray Jay,winter,0,0,0
410-SW_HF2 PRO COVERT,Gray Wolf,summer,0,0,0
410-SW_HF2 PRO COVERT,Gray Wolf,winter,0,0,0
410-SW_HF2 PRO COVERT,Marten,summer,0,0,0
410-SW_HF2 PRO COVERT,Marten,winter,0,0,0
410-SW_HF2 PRO COVERT,Moose,summer,0,0,0
410-SW_HF2 PRO COVERT,Moose,winter,0,0,0
410-SW_HF2 PRO COVERT,Northern Flying Squirrel,summer,0,0,0
410-SW_HF2 PRO COVERT,Northern Flying Squirrel,winter,0,0,0
410-SW_HF2 PRO COVERT,Red Squirrel,summer,0,0,0
410-SW_HF2 PRO COVERT,Red Squirrel,winter,0,0,0
410-SW_HF2 PRO COVERT,Snowshoe Hare,summer,10.970212412877531,1,1
410-SW_HF2 PRO COVERT,Snowshoe Hare,winter,165.6127613674079,20,13
410-SW_HF2 PRO COVERT,White-tailed Deer,summer,0,0,0
410-SW_HF2 PRO COVERT,White-tailed Deer,winter,0,0,0
410-SW_HF2 PRO COVERT,"Wolves, Coyotes and Allies",summer,0,0,0
410-SW_HF2 PRO COVERT,"Wolves, Coyotes and Allies",winter,0,0,0
410-SW_PC900 PROFESSIONAL,Black Bear,summer,36.95988229514237,7,1
410-SW_PC900 PROFESSIONAL,Black Bear,winter,0,0,0
410-SW_PC900 PROFESSIONAL,Canada Lynx,summer,11.84670853686904,2,1
410-SW_PC900 PROFESSIONAL,Canada Lynx,winter,24.386834147476158,5,4
410-SW_PC900 PROFESSIONAL,Coyote,summer,0,0,0
410-SW_PC900 PROFESSIONAL,Coyote,winter,0,0,0
410-SW_PC900 PROFESSIONAL,Elk (wapiti),summer,0,0,0
410-SW_PC900 PROFESSIONAL,Elk (wapiti),winter,0,0,0
410-SW_PC900 PROFESSIONAL,Fisher,summer,0,0,0
410-SW_PC900 PROFESSIONAL,Fisher,winter,0,0,0
410-SW_PC900 PROFESSIONAL,Gray Jay,summer,0,0,0
410-SW_PC900 PROFESSIONAL,Gray Jay,winter,0,0,0
410-SW_PC900 PROFESSIONAL,Gray Wolf,summer,0,0,0
410-SW_PC900 PROFESSIONAL,Gray Wolf,winter,0,0,0
410-SW_PC900 PROFESSIONAL,Marten,summer,0,0,0
410-SW_PC900 PROFESSIONAL,Marten,winter,0,0,0
410-SW_PC900 PROFESSIONAL,Moose,summer,0,0,0
410-SW_PC900 PROFESSIONAL,Moose,winter,0,0,0
410-SW_PC900 PROFESSIONAL,Northern Flying Squirrel,summer,0,0,0
410-SW_PC900 PROFESSIONAL,Northern Flying Squirrel,winter,0,0,0
410-SW_PC900 PROFESSIONAL,Red Squirrel,summer,0,0,0
410-SW_PC900 PROFESSIONAL,Red Squirrel,winter,0,0,0
410-SW_PC900 PROFESSIONAL,Snowshoe Hare,summer,0,0,0
410-SW_PC900 PROFESSIONAL,Snowshoe Hare,winter,47.880849651510125,5,4
410-SW_PC900 PROFESSIONAL,White-tailed Deer,summer,0,0,0
410-SW_PC900 PROFESSIONAL,White-tailed Deer,winter,0,0,0
410-SW_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",summer,0,0,0
410-SW_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",winter,0,0,0
440-SW_HF2 PRO COVERT,Black Bear,summer,350.5296468854271,54,3
440-SW_HF2 PRO COVERT,Black Bear,winter,0,0,0
440-SW_HF2 PRO COVERT,Canada Lynx,summer,0,0,0
440-SW_HF2 PRO COVERT,Canada Lynx,winter,60.362487400170586,10,5
440-SW_HF2 PRO COVERT,Coyote,summer,0,0,0
