location_cam,common_name,season,total_duration,total_images,total_series
440-SW_HF2 PRO COVERT,Coyote,winter,0,0,0
440-SW_HF2 PRO COVERT,Elk (wapiti),summer,0,0,0
440-SW_HF2 PRO COVERT,Elk (wapiti),winter,0,0,0
440-SW_HF2 PRO COVERT,Fisher,summer,0,0,0
440-SW_HF2 PRO COVERT,Fisher,winter,0,0,0
440-SW_HF2 PRO COVERT,Gray Jay,summer,0,0,0
440-SW_HF2 PRO COVERT,Gray Jay,winter,0,0,0
440-SW_HF2 PRO COVERT,Gray Wolf,summer,0,0,0
440-SW_HF2 PRO COVERT,Gray Wolf,winter,0,0,0
440-SW_HF2 PRO COVERT,Marten,summer,0,0,0
440-SW_HF2 PRO COVERT,Marten,winter,0,0,0
440-SW_HF2 PRO COVERT,Moose,summer,0,0,0
440-SW_HF2 PRO COVERT,Moose,winter,0,0,0
440-SW_HF2 PRO COVERT,Northern Flying Squirrel,summer,0,0,0
440-SW_HF2 PRO COVERT,Northern Flying Squirrel,winter,0,0,0
440-SW_HF2 PRO COVERT,Red Squirrel,summer,0,0,0
440-SW_HF2 PRO COVERT,Red Squirrel,winter,0,0,0
440-SW_HF2 PRO COVERT,Snowshoe Hare,summer,0,0,0
440-SW_HF2 PRO COVERT,Snowshoe Hare,winter,10.970212412877531,1,1
440-SW_HF2 PRO COVERT,White-tailed Deer,summer,0,0,0
440-SW_HF2 PRO COVERT,White-tailed Deer,winter,0,0,0
440-SW_HF2 PRO COVERT,"Wolves, Coyotes and Allies",summer,0,0,0
440-SW_HF2 PRO COVERT,"Wolves, Coyotes and Allies",winter,0,0,0
440-SW_PC900 PROFESSIONAL,Black Bear,summer,277.3597645902848,33,2
440-SW_PC900 PROFESSIONAL,Black Bear,winter,0,0,0
440-SW_PC900 PROFESSIONAL,Canada Lynx,summer,0,0,0
440-SW_PC900 PROFESSIONAL,Canada Lynx,winter,104.64893463596185,19,5
440-SW_PC900 PROFESSIONAL,Coyote,summer,0,0,0
440-SW_PC900 PROFESSIONAL,Coyote,winter,0,0,0
440-SW_PC900 PROFESSIONAL,Elk (wapiti),summer,0,0,0
440-SW_PC900 PROFESSIONAL,Elk (wapiti),winter,0,0,0
440-SW_PC900 PROFESSIONAL,Fisher,summer,0,0,0
440-SW_PC900 PROFESSIONAL,Fisher,winter,0,0,0
440-SW_PC900 PROFESSIONAL,Gray Jay,summer,0,0,0
440-SW_PC900 PROFESSIONAL,Gray Jay,winter,0,0,0
440-SW_PC900 PROFESSIONAL,Gray Wolf,summer,0,0,0
440-SW_PC900 PROFESSIONAL,Gray Wolf,winter,0,0,0
440-SW_PC900 PROFESSIONAL,Marten,summer,0,0,0
440-SW_PC900 PROFESSIONAL,Marten,winter,0,0,0
440-SW_PC900 PROFESSIONAL,Moose,summer,0,0,0
440-SW_PC900 PROFESSIONAL,Moose,winter,0,0,0
440-SW_PC900 PROFESSIONAL,Northern Flying Squirrel,summer,0,0,0
440-SW_PC900 PROFESSIONAL,Northern Flying Squirrel,winter,0,0,0
440-SW_PC900 PROFESSIONAL,Red Squirrel,summer,0,0,0
440-SW_PC900 PROFESSIONAL,Red Squirrel,winter,0,0,0
440-SW_PC900 PROFESSIONAL,Snowshoe Hare,summer,0,0,0
440-SW_PC900 PROFESSIONAL,Snowshoe Hare,winter,0,0,0
440-SW_PC900 PROFESSIONAL,White-tailed Deer,summer,0,0,0
440-SW_PC900 PROFESSIONAL,White-tailed Deer,winter,0,0,0
440-SW_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",summer,0,0,0
440-SW_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",winter,0,0,0
511-SW_HF2 PRO COVERT,Black Bear,summer,78.49976459028474,25,2
511-SW_HF2 PRO COVERT,Black Bear,winter,0,0,0
511-SW_HF2 PRO COVERT,Canada Lynx,summer,0,0,0
511-SW_HF2 PRO COVERT,Canada Lynx,winter,0,0,0
511-SW_HF2 PRO COVERT,Coyote,summer,0,0,0
511-SW_HF2 PRO COVERT,Coyote,winter,0,0,0
511-SW_HF2 PRO COVERT,Elk (wapiti),summer,0,0,0
511-SW_HF2 PRO COVERT,Elk (wapiti),winter,0,0,0
511-SW_HF2 PRO COVERT,Fisher,summer,0,0,0
511-SW_HF2 PRO COVERT,Fisher,winter,0,0,0
511-SW_HF2 PRO COVERT,Gray Jay,summer,0,0,0
511-SW_HF2 PRO COVERT,Gray Jay,winter,0,0,0
511-SW_HF2 PRO COVERT,Gray Wolf,summer,0,0,0
511-SW_HF2 PRO COVERT,Gray Wolf,winter,0,0,0
511-SW_HF2 PRO COVERT,Marten,summer,0,0,0
511-SW_HF2 PRO COVERT,Marten,winter,0,0,0
511-SW_HF2 PRO COVERT,Moose,summer,44.534476491084966,17,1
511-SW_HF2 PRO COVERT,Moose,winter,70.01447649108496,23,1
511-SW_HF2 PRO COVERT,Northern Flying Squirrel,summer,0,0,0
511-SW_HF2 PRO COVERT,Northern Flying Squirrel,winter,0,0,0
511-SW_HF2 PRO COVERT,Red Squirrel,summer,0,0,0
511-SW_HF2 PRO COVERT,Red Squirrel,winter,0,0,0
511-SW_HF2 PRO COVERT,Snowshoe Hare,summer,0,0,0
511-SW_HF2 PRO COVERT,Snowshoe Hare,winter,0,0,0
511-SW_HF2 PRO COVERT,White-tailed Deer,summer,28.957173355647818,9,1
511-SW_HF2 PRO COVERT,White-tailed Deer,winter,0,0,0
511-SW_HF2 PRO COVERT,"Wolves, Coyotes and Allies",summer,0,0,0
511-SW_HF2 PRO COVERT,"Wolves, Coyotes and Allies",winter,8.533333333333333,1,1
511-SW_PC900 PROFESSIONAL,Black Bear,summer,41.57988229514237,7,1
511-SW_PC900 PROFESSIONAL,Black Bear,winter,0,0,0
511-SW_PC900 PROFESSIONAL,Canada Lynx,summer,0,0,0
511-SW_PC900 PROFESSIONAL,Canada Lynx,winter,0,0,0
511-SW_PC900 PROFESSIONAL,Coyote,summer,0,0,0
511-SW_PC900 PROFESSIONAL,Coyote,winter,0,0,0
511-SW_PC900 PROFESSIONAL,Elk (wapiti),summer,0,0,0
511-SW_PC900 PROFESSIONAL,Elk (wapiti),winter,0,0,0
511-SW_PC900 PROFESSIONAL,Fisher,summer,0,0,0
511-SW_PC900 PROFESSIONAL,Fisher,winter,0,0,0
511-SW_PC900 PROFESSIONAL,Gray Jay,summer,0,0,0
511-SW_PC900 PROFESSIONAL,Gray Jay,winter,0,0,0
511-SW_PC900 PROFESSIONAL,Gray Wolf,summer,0,0,0
511-SW_PC900 PROFESSIONAL,Gray Wolf,winter,0,0,0
511-SW_PC900 PROFESSIONAL,Marten,summer,0,0,0
511-SW_PC900 PROFESSIONAL,Marten,winter,0,0,0
511-SW_PC900 PROFESSIONAL,Moose,summer,62.004476491084965,16,1
511-SW_PC900 PROFESSIONAL,Moose,winter,81.01447649108496,18,1
511-SW_PC900 PROFESSIONAL,Northern Flying Squirrel,summer,0,0,0
511-SW_PC900 PROFESSIONAL,Northern Flying Squirrel,winter,0,0,0
511-SW_PC900 PROFESSIONAL,Red Squirrel,summer,0,0,0
511-SW_PC900 PROFESSIONAL,Red Squirrel,winter,0,0,0
511-SW_PC900 PROFESSIONAL,Snowshoe Hare,summer,0,0,0
511-SW_PC900 PROFESSIONAL,Snowshoe Hare,winter,0,0,0
511-SW_PC900 PROFESSIONAL,White-tailed Deer,summer,32.95717335564782,10,1
511-SW_PC900 PROFESSIONAL,White-tailed Deer,winter,0,0,0
511-SW_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",summer,0,0,0
511-SW_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",winter,0,0,0
542-NE_HF2 PRO COVERT,Black Bear,summer,154.00447032814066,24,4
542-NE_HF2 PRO COVERT,Black Bear,winter,0,0,0
542-NE_HF2 PRO COVERT,Canada Lynx,summer,0,0,0
542-NE_HF2 PRO COVERT,Canada Lynx,winter,9.84670853686904,4,1
542-NE_HF2 PRO COVERT,Coyote,summer,0,0,0
542-NE_HF2 PRO COVERT,Coyote,winter,0,0,0
542-NE_HF2 PRO COVERT,Elk (wapiti),summer,0,0,0
542-NE_HF2 PRO COVERT,Elk (wapiti),winter,0,0,0
542-NE_HF2 PRO COVERT,Fisher,summer,9.809151785714286,1,1
542-NE_HF2 PRO COVERT,Fisher,winter,0,0,0
542-NE_HF2 PRO COVERT,Gray Jay,summer,0,0,0
542-NE_HF2 PRO COVERT,Gray Jay,winter,15.491228070175438,3,1
542-NE_HF2 PRO COVERT,Gray Wolf,summer,86.45297297297299,9,1
542-NE_HF2 PRO COVERT,Gray Wolf,winter,0,0,0
542-NE_HF2 PRO COVERT,Marten,summer,0,0,0
542-NE_HF2 PRO COVERT,Marten,winter,0,0,0
542-NE_HF2 PRO COVERT,Moose,summer,0,0,0
542-NE_HF2 PRO COVERT,Moose,winter,0,0,0
542-NE_HF2 PRO COVERT,Northern Flying Squirrel,summer,0,0,0
542-NE_HF2 PRO COVERT,Northern Flying Squirrel,winter,0,0,0
542-NE_HF2 PRO COVERT,Red Squirrel,summer,0,0,0
542-NE_HF2 PRO COVERT,Red Squirrel,winter,12.182905982905982,1,1
542-NE_HF2 PRO COVERT,Snowshoe Hare,summer,0,0,0
542-NE_HF2 PRO COVERT,Snowshoe Hare,winter,32.910637238632596,3,3
542-NE_HF2 PRO COVERT,White-tailed Deer,summer,59.95717335564782,13,1
542-NE_HF2 PRO COVERT,White-tailed Deer,winter,35.95717335564782,10,1
542-NE_HF2 PRO COVERT,"Wolves, Coyotes and Allies",summer,0,0,0
542-NE_HF2 PRO COVERT,"Wolves, Coyotes and Allies",winter,0,0,0
542-NE_PC900 PROFESSIONAL,Black Bear,summer,170.93585274610552,28,3
542-NE_PC900 PROFESSIONAL,Black Bear,winter,0,0,0
542-NE_PC900 PROFESSIONAL,Canada Lynx,summer,0,0,0
542-NE_PC900 PROFESSIONAL,Canada Lynx,winter,7.8467085368690395,2,1
542-NE_PC900 PROFESSIONAL,Coyote,summer,0,0,0
542-NE_PC900 PROFESSIONAL,Coyote,winter,0,0,0
542-NE_PC900 PROFESSIONAL,Elk (wapiti),summer,0,0,0
542-NE_PC900 PROFESSIONAL,Elk (wapiti),winter,0,0,0
542-NE_PC900 PROFESSIONAL,Fisher,summer,9.809151785714286,1,1
542-NE_PC900 PROFESSIONAL,Fisher,winter,0,0,0
542-NE_PC900 PROFESSIONAL,Gray Jay,summer,0,0,0
542-NE_PC900 PROFESSIONAL,Gray Jay,winter,11.491228070175438,2,1
542-NE_PC900 PROFESSIONAL,Gray Wolf,summer,100.86297297297298,16,1
542-NE_PC900 PROFESSIONAL,Gray Wolf,winter,0,0,0
542-NE_PC900 PROFESSIONAL,Marten,summer,0,0,0
542-NE_PC900 PROFESSIONAL,Marten,winter,0,0,0
542-NE_PC900 PROFESSIONAL,Moose,summer,24.064476491084967,3,1
542-NE_PC900 PROFESSIONAL,Moose,winter,0,0,0
542-NE_PC900 PROFESSIONAL,Northern Flying Squirrel,summer,0,0,0
542-NE_PC900 PROFESSIONAL,Northern Flying Squirrel,winter,0,0,0
542-NE_PC900 PROFESSIONAL,Red Squirrel,summer,0,0,0
542-NE_PC900 PROFESSIONAL,Red Squirrel,winter,13.182905982905982,2,1
542-NE_PC900 PROFESSIONAL,Snowshoe Hare,summer,0,0,0
542-NE_PC900 PROFESSIONAL,Snowshoe Hare,winter,97.77106206438765,9,5
542-NE_PC900 PROFESSIONAL,White-tailed Deer,summer,60.95717335564782,20,1
542-NE_PC900 PROFESSIONAL,White-tailed Deer,winter,37.95717335564782,14,1
542-NE_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",summer,0,0,0
542-NE_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",winter,0,0,0
686-NE_HF2 PRO COVERT,Black Bear,summer,0,0,0
686-NE_HF2 PRO COVERT,Black Bear,winter,0,0,0
686-NE_HF2 PRO COVERT,Canada Lynx,summer,0,0,0
686-NE_HF2 PRO COVERT,Canada Lynx,winter,0,0,0
686-NE_HF2 PRO COVERT,Coyote,summer,0,0,0
686-NE_HF2 PRO COVERT,Coyote,winter,0,0,0
686-NE_HF2 PRO COVERT,Elk (wapiti),summer,0,0,0
686-NE_HF2 PRO COVERT,Elk (wapiti),winter,0,0,0
686-NE_HF2 PRO COVERT,Fisher,summer,0,0,0
686-NE_HF2 PRO COVERT,Fisher,winter,132.42745535714286,11,3
686-NE_HF2 PRO COVERT,Gray Jay,summer,0,0,0
686-NE_HF2 PRO COVERT,Gray Jay,winter,0,0,0
686-NE_HF2 PRO COVERT,Gray Wolf,summer,0,0,0
686-NE_HF2 PRO COVERT,Gray Wolf,winter,0,0,0
686-NE_HF2 PRO COVERT,Marten,summer,0,0,0
686-NE_HF2 PRO COVERT,Marten,winter,32.894285714285715,4,2
686-NE_HF2 PRO COVERT,Moose,summer,1869.0768208851068,446,2
686-NE_HF2 PRO COVERT,Moose,winter,0,0,0
686-NE_HF2 PRO COVERT,Northern Flying Squirrel,summer,0,0,0
686-NE_HF2 PRO COVERT,Northern Flying Squirrel,winter,0,0,0
686-NE_HF2 PRO COVERT,Red Squirrel,summer,0,0,0
686-NE_HF2 PRO COVERT,Red Squirrel,winter,0,0,0
686-NE_HF2 PRO COVERT,Snowshoe Hare,summer,0,0,0
686-NE_HF2 PRO COVERT,Snowshoe Hare,winter,0,0,0
686-NE_HF2 PRO COVERT,White-tailed Deer,summer,0,0,0
686-NE_HF2 PRO COVERT,White-tailed Deer,winter,0,0,0
686-NE_HF2 PRO COVERT,"Wolves, Coyotes and Allies",summer,0,0,0
686-NE_HF2 PRO COVERT,"Wolves, Coyotes and Allies",winter,0,0,0
686-NE_PC900 PROFESSIONAL,Black Bear,summer,0,0,0
686-NE_PC900 PROFESSIONAL,Black Bear,winter,0,0,0
686-NE_PC900 PROFESSIONAL,Canada Lynx,summer,0,0,0
686-NE_PC900 PROFESSIONAL,Canada Lynx,winter,0,0,0
686-NE_PC900 PROFESSIONAL,Coyote,summer,0,0,0
686-NE_PC900 PROFESSIONAL,Coyote,winter,0,0,0
686-NE_PC900 PROFESSIONAL,Elk (wapiti),summer,0,0,0
686-NE_PC900 PROFESSIONAL,Elk (wapiti),winter,0,0,0
686-NE_PC900 PROFESSIONAL,Fisher,summer,0,0,0
686-NE_PC900 PROFESSIONAL,Fisher,winter,0,0,0
686-NE_PC900 PROFESSIONAL,Gray Jay,summer,0,0,0
686-NE_PC900 PROFESSIONAL,Gray Jay,winter,0,0,0
686-NE_PC900 PROFESSIONAL,Gray Wolf,summer,0,0,0
686-NE_PC900 PROFESSIONAL,Gray Wolf,winter,0,0,0
686-NE_PC900 PROFESSIONAL,Marten,summer,0,0,0
686-NE_PC900 PROFESSIONAL,Marten,winter,16.894285714285715,2,2
686-NE_PC900 PROFESSIONAL,Moose,summer,1922.2556605594125,349,2
686-NE_PC900 PROFESSIONAL,Moose,winter,0,0,0
686-NE_PC900 PROFESSIONAL,Northern Flying Squirrel,summer,9.8,1,1
686-NE_PC900 PROFESSIONAL,Northern Flying Squirrel,winter,0,0,0
686-NE_PC900 PROFESSIONAL,Red Squirrel,summer,0,0,0
686-NE_PC900 PROFESSIONAL,Red Squirrel,winter,0,0,0
686-NE_PC900 PROFESSIONAL,Snowshoe Hare,summer,0,0,0
686-NE_PC900 PROFESSIONAL,Snowshoe Hare,winter,0,0,0
686-NE_PC900 PROFESSIONAL,White-tailed Deer,summer,0,0,0
686-NE_PC900 PROFESSIONAL,White-tailed Deer,winter,0,0,0
686-NE_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",summer,0,0,0
686-NE_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",winter,0,0,0
788-NW_HF2 PRO COVERT,Black Bear,summer,0,0,0
788-NW_HF2 PRO COVERT,Black Bear,winter,0,0,0
788-NW_HF2 PRO COVERT,Canada Lynx,summer,0,0,0
788-NW_HF2 PRO COVERT,Canada Lynx,winter,0,0,0
788-NW_HF2 PRO COVERT,Coyote,summer,0,0,0
788-NW_HF2 PRO COVERT,Coyote,winter,0,0,0
788-NW_HF2 PRO COVERT,Elk (wapiti),summer,0,0,0
788-NW_HF2 PRO COVERT,Elk (wapiti),winter,0,0,0
788-NW_HF2 PRO COVERT,Fisher,summer,0,0,0
788-NW_HF2 PRO COVERT,Fisher,winter,0,0,0
788-NW_HF2 PRO COVERT,Gray Jay,summer,0,0,0
788-NW_HF2 PRO COVERT,Gray Jay,winter,0,0,0
788-NW_HF2 PRO COVERT,Gray Wolf,summer,0,0,0
788-NW_HF2 PRO COVERT,Gray Wolf,winter,0,0,0
788-NW_HF2 PRO COVERT,Marten,summer,0,0,0
788-NW_HF2 PRO COVERT,Marten,winter,0,0,0
788-NW_HF2 PRO COVERT,Moose,summer,0,0,0
788-NW_HF2 PRO COVERT,Moose,winter,0,0,0
788-NW_HF2 PRO COVERT,Northern Flying Squirrel,summer,0,0,0
788-NW_HF2 PRO COVERT,Northern Flying Squirrel,winter,0,0,0
788-NW_HF2 PRO COVERT,Red Squirrel,summer,0,0,0
788-NW_HF2 PRO COVERT,Red Squirrel,winter,0,0,0
788-NW_HF2 PRO COVERT,Snowshoe Hare,summer,0,0,0
788-NW_HF2 PRO COVERT,Snowshoe Hare,winter,0,0,0
788-NW_HF2 PRO COVERT,White-tailed Deer,summer,0,0,0
788-NW_HF2 PRO COVERT,White-tailed Deer,winter,2556.1445051317364,461,38
788-NW_HF2 PRO COVERT,"Wolves, Coyotes and Allies",summer,0,0,0
788-NW_HF2 PRO COVERT,"Wolves, Coyotes and Allies",winter,0,0,0
788-NW_PC900 PROFESSIONAL,Black Bear,summer,0,0,0
788-NW_PC900 PROFESSIONAL,Black Bear,winter,0,0,0
788-NW_PC900 PROFESSIONAL,Canada Lynx,summer,0,0,0
788-NW_PC900 PROFESSIONAL,Canada Lynx,winter,0,0,0
788-NW_PC900 PROFESSIONAL,Coyote,summer,0,0,0
788-NW_PC900 PROFESSIONAL,Coyote,winter,0,0,0
788-NW_PC900 PROFESSIONAL,Elk (wapiti),summer,0,0,0
788-NW_PC900 PROFESSIONAL,Elk (wapiti),winter,0,0,0
788-NW_PC900 PROFESSIONAL,Fisher,summer,0,0,0
788-NW_PC900 PROFESSIONAL,Fisher,winter,0,0,0
788-NW_PC900 PROFESSIONAL,Gray Jay,summer,0,0,0
788-NW_PC900 PROFESSIONAL,Gray Jay,winter,0,0,0
788-NW_PC900 PROFESSIONAL,Gray Wolf,summer,0,0,0
788-NW_PC900 PROFESSIONAL,Gray Wolf,winter,0,0,0
788-NW_PC900 PROFESSIONAL,Marten,summer,0,0,0
788-NW_PC900 PROFESSIONAL,Marten,winter,0,0,0
788-NW_PC900 PROFESSIONAL,Moose,summer,0,0,0
788-NW_PC900 PROFESSIONAL,Moose,winter,0,0,0
788-NW_PC900 PROFESSIONAL,Northern Flying Squirrel,summer,0,0,0
788-NW_PC900 PROFESSIONAL,Northern Flying Squirrel,winter,0,0,0
788-NW_PC900 PROFESSIONAL,Red Squirrel,summer,0,0,0
788-NW_PC900 PROFESSIONAL,Red Squirrel,winter,0,0,0
788-NW_PC900 PROFESSIONAL,Snowshoe Hare,summer,0,0,0
788-NW_PC900 PROFESSIONAL,Snowshoe Hare,winter,0,0,0
788-NW_PC900 PROFESSIONAL,White-tailed Deer,summer,0,0,0
788-NW_PC900 PROFESSIONAL,White-tailed Deer,winter,2336.7767855355805,386,32
788-NW_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",summer,0,0,0
788-NW_PC900 PROFESSIONAL,"Wolves, Coyotes and Allies",winter,0,0,0
822B-NW_HF2 PRO COVERT,Black Bear,summer,0,0,0
822B-NW_HF2 PRO COVERT,Black Bear,winter,0,0,0
822B-NW_HF2 PRO COVERT,Canada Lynx,summer,0,0,0
822B-NW_HF2 PRO COVERT,Canada Lynx,winter,7.8467085368690395,3,1
822B-NW_HF2 PRO COVERT,Coyote,summer,16.65716711580346,2,1
822B-NW_HF2 PRO COVERT,Coyote,winter,0,0,0
822B-NW_HF2 PRO COVERT,Elk (wapiti),summer,0,0,0
822B-NW_HF2 PRO COVERT,Elk (wapiti),winter,0,0,0
822B-NW_HF2 PRO COVERT,Fisher,summer,0,0,0
822B-NW_HF2 PRO COVERT,Fisher,winter,0,0,0
822B-NW_HF2 PRO COVERT,Gray Jay,summer,0,0,0
822B-NW_HF2 PRO COVERT,Gray Jay,winter,0,0,0
822B-NW_HF2 PRO COVERT,Gray Wolf,summer,0,0,0
822B-NW_HF2 PRO COVERT,Gray Wolf,winter,0,0,0
822B-NW_HF2 PRO COVERT,Marten,summer,0,0,0
822B-NW_HF2 PRO COVERT,Marten,winter,0,0,0
822B-NW_HF2 PRO COVERT,Moose,summer,0,0,0
822B-NW_HF2 PRO COVERT,Moose,winter,0,0,0
822B-NW_HF2 PRO COVERT,Northern Flying Squirrel,summer,0,0,0
822B-NW_HF2 PRO COVERT,Northern Flying Squirrel,winter,0,0,0
822B-NW_HF2 PRO COVERT,Red Squirrel,summer,0,0,0
822B-NW_HF2 PRO COVERT,Red Squirrel,winter,28.365811965811965,4,2
822B-NW_HF2 PRO COVERT,Snowshoe Hare,summer,101.00127447726518,8,6
822B-NW_HF2 PRO COVERT,Snowshoe Hare,winter,5127.197822768006,555,239
822B-NW_HF2 PRO COVERT,White-tailed Deer,summer,0,0,0
822B-NW_HF2 PRO COVERT,White-tailed Deer,winter,0,0,0
822B-NW_HF2 PRO COVERT,"Wolves, Coyotes and Allies",summer,0,0,0
822B-NW_HF2 PRO COVERT,"Wolves, Coyotes and Allies",winter,0,0,0
822B-NW_PC900 PROFESSIONAL,Black Bear,summer,0,0,0
822B-NW_PC900 PROFESSIONAL,Black Bear,winter,0,0,0
822B-NW_PC900 PROFESSIONAL,Canada Lynx,summer,0,0,0
822B-NW_PC900 PROFESSIONAL,Canada Lynx,winter,7.8467085368690395,3,1
822B-NW_PC900 PROFESSIONAL,Coyote,summer,16.65716711580346,2,1
822B-NW_PC900 PROFESSIONAL,Coyote,winter,0,0,0
822B-NW_PC900 PROFESSIONAL,Elk (wapiti),summer,0,0,0
822B-NW_PC900 PROFESSIONAL,Elk (wapiti),winter,0,0,0
822B-NW_PC900 PROFESSIONAL,Fisher,summer,0,0,0
822B-NW_PC900 PROFESSIONAL,Fisher,winter,0,0,0
822B-NW_PC900 PROFESSIONAL,Gray Jay,summer,0,0,0
822B-NW_PC900 PROFESSIONAL,Gray Jay,winter,0,0,0
822B-NW_PC900 PROFESSIONAL,Gray Wolf,summer,0,0,0
822B-NW_PC900 PROFESSIONAL,Gray Wolf,winter,0,0,0
822B-NW_PC900 PROFESSIONAL,Marten,summer,0,0,0
822B-NW_PC900 PROFESSIONAL,Marten,winter,0,0,0
822B-NW_PC900 PROFESSIONAL,Moose,summer,0,0,0
822B-NW_PC900 PROFESSIONAL,Moose,winter,0,0,0
822B-NW_PC900 PROFESSIONAL,Northern Flying Squirrel,summer,0,0,0
822B-NW_PC900 PROFESSIONAL,Northern Flying Squirrel,winter,0,0,0
822B-NW_PC900 PROFESSIONAL,Red Squirrel,summer,0,0,0
822B-NW_PC900 PROFESSIONAL,Red Squirrel,winter,25.365811965811965,3,2
822B-NW_PC900 PROFESSIONAL,Snowshoe Hare,summer,43.880849651510125,4,4
822B-NW_PC900 PROFESSIONAL,Snowshoe Hare,winter,3477.662597079323,367,176
